subj,s1b3p0d2,s1b3p0d1,s1b3p1d2,s1b3p1d1,s2b3p0d2,s2b3p0d1,s2b3p1d2,s2b3p1d1,s3b3p0d2,s3b3p0d1,s3b3p1d2,s3b3p1d1
1,0.064157211,0.066221926,0.075556485,0.130020404,0.109813287,0.133505388,0.081705,0.145069104,0.130722842,0.128946962,0.127889926,0.124280594
2,0.123949226,0.123545488,0.123327894,0.118660084,0.117894197,0.110391851,0.126937668,0.120332256,0.109848958,0.107613968,0.111082304,0.107515962
3,0.10615815,0.136151891,0.131984547,0.13033062,0.010724747,0.091521048,0.081750993,0.126286242,0.095310153,0.137431075,0.133137652,0.129044035
4,0.062226795,0.127516609,0.104209783,0.136015976,0.083497131,0.124541809,0.108292974,0.135595936,0.126902235,0.123870264,0.108640618,0.133072993
5,0.056285144,0.068885094,0.123569182,0.102565285,0.0393708,0.146052593,0.136143672,0.133534372,0.096166732,0.129417754,0.102396963,0.135332212
6,0.126135346,0.133874905,0.070466458,0.129528381,0.123616502,0.121156723,0.106836824,0.107123644,0.121780349,0.114600017,0.117336305,0.106718251
7,0.096019777,0.143474163,0.084188917,0.049384887,0.092093135,0.126775469,0.115202517,0.104044198,0.072304859,0.126371667,0.114931394,0.128241027
8,0.03541391,0.05981245,0.011843987,0.055405966,0.121910622,0.128003877,0.117203424,0.137455168,0.114045362,0.102797963,0.112083884,0.121554415
9,0.044585593,0.07469061,-0.032220456,0.077853483,0.126120574,0.121260568,0.123537915,0.108419068,0.128327512,0.127221759,0.118683852,0.113941065
10,0.006043009,0.093516143,0.091542445,0.026929664,0.108290238,0.124070068,0.080151824,0.068394167,0.095498001,0.09954573,0.122638316,0.095035061
11,0.09205719,0.096167141,0.051000027,0.139680653,0.057648243,0.136098706,0.131817413,0.137407603,0.1252493,0.121129038,0.119823369,0.123559542
12,0.125673235,0.131873127,0.122662626,0.123555706,0.109106505,0.121251603,0.127188028,0.124280739,0.126734118,0.118979305,0.125468444,0.11534862
13,0.120789514,0.12772743,0.090715112,0.136245221,0.04800757,0.101099406,0.057930474,0.062802319,0.047762039,0.083154379,0.028023759,0.096195941
14,0.120099173,0.129417245,0.124887124,0.13229186,0.12517697,0.137825999,0.121557935,0.125776032,0.102834823,0.135702885,0.131629084,0.125676952
15,0.128632796,0.116902109,0.127125481,0.118388885,0.117662311,0.120213653,0.103917289,0.12775582,0.087355816,0.12077121,0.070175213,0.113979547
16,0.123083427,0.126245337,0.122758728,0.127486325,0.129980774,0.129912896,0.126923122,0.125831398,0.099305209,0.089666319,0.116267001,0.111297333
17,0.034422946,0.055138855,0.066462605,0.108615859,0.097347853,0.085124988,0.084043401,0.068272393,0.090651449,0.111841397,0.045539532,0.052712057
18,0.078051179,0.117519982,0.062109576,0.033970528,0.0906751,0.140521936,0.112968427,0.136059283,0.128454724,0.126983199,0.1052684,0.037931353
19,0.007628246,0.113793354,0.077761062,0.13199791,0.073191684,0.044604478,0.029826125,-0.001321245,0.035564116,0.107636033,0.050076066,0.098608796
20,0.119582619,0.098136817,0.11055709,0.109358569,0.112685606,0.096503702,0.121609119,0.104425244,0.118042209,0.102328316,0.113724605,0.107392711
21,0.032926639,0.110003343,0.111321717,0.025847452,0.128516493,0.127895597,0.090657072,0.105171481,0.11602221,0.112297704,0.114412957,0.128507159
22,0.128386579,0.13353128,0.130629491,0.134104693,0.084163214,0.136386399,0.1059203,0.130747229,0.11941259,0.133801523,0.127320169,0.130270157
23,0.035294788,0.095728541,0.075751417,0.096150577,0.073627631,0.107975869,0.09658483,0.107722912,0.132349185,0.121584755,0.125722874,0.128065439
24,0.131038346,0.107178659,0.125597412,0.126594943,0.123235308,0.112345149,0.127653449,0.12625445,0.117105448,0.116483092,0.120595463,0.117989296
25,0.127849008,0.126295287,0.125091084,0.122714176,0.128238476,0.127240053,0.126868076,0.128379684,0.124491371,0.113550434,0.121812917,0.109792123
26,0.132664129,0.128607239,0.068549339,0.138918611,0.099465848,0.131782171,0.13881927,0.130948409,0.131740786,0.134159033,0.100150522,0.135379526
