,s1b3p0d2,s1b3p0d1,s1b3p1d2,s1b3p1d1,s2b3p0d2,s2b3p0d1,s2b3p1d2,s2b3p1d1,s3b3p0d2,s3b3p0d1,s3b3p1d2,s3b3p1d1
1,0.034732,0.03587,0.047847,0.091834,0.077483,0.1045,0.053512,0.12208,0.17161,0.22029,0.20672,0.24553
2,0.18887,0.17808,0.21464,0.26527,0.26902,0.3294,0.16022,0.27658,0.32366,0.34194,0.31328,0.34248
3,0.090417,0.18442,0.1392,0.13327,0.0062838,0.05476,0.054063,0.092066,0.076355,0.19382,0.16874,0.14034
4,0.050849,0.1309,0.08522,0.1452,0.055476,0.09043,0.092888,0.19579,0.18427,0.23834,0.096926,0.20462
5,0.035224,0.043288,0.089109,0.069712,0.024723,0.11788,0.14405,0.1332,0.083495,0.2333,0.085924,0.15496
6,0.1248,0.15538,0.050936,0.10995,0.14423,0.269,0.3245,0.32194,0.23326,0.29729,0.26565,0.35316
7,0.069513,0.14431,0.05887,0.033911,0.061172,0.091942,0.078643,0.069244,0.045156,0.086489,0.1069,0.24411
8,0.022725,0.038531,0.0076412,0.035863,0.10429,0.11464,0.10219,0.18444,0.28633,0.38026,0.10308,0.28968
9,0.027181,0.045927,-0.018124,0.044215,0.16884,0.26119,0.17682,0.34735,0.21436,0.15335,0.2631,0.30213
10,0.0038557,0.06133,0.059617,0.01711,0.10102,0.26477,0.048417,0.041068,0.43778,0.40007,0.21148,0.45891
11,0.060172,0.063188,0.034768,0.12108,0.037919,0.1065,0.1205,0.13741,0.13956,0.2802,0.26575,0.2314
12,0.1292,0.15455,0.13711,0.25468,0.083861,0.097796,0.16132,0.1451,0.19882,0.27884,0.18023,0.30081
13,0.11086,0.25987,0.07081,0.215,0.029068,0.06324,0.034258,0.037186,0.029207,0.051552,0.017198,0.060731
14,0.10235,0.11851,0.11987,0.14165,0.11496,0.17572,0.099395,0.10552,0.080266,0.13074,0.12831,0.11459
15,0.15815,0.30887,0.18253,0.28484,0.091895,0.094961,0.080997,0.11134,0.061323,0.091784,0.047864,0.083023
16,0.12948,0.13925,0.11569,0.12616,0.16712,0.16627,0.17216,0.22205,0.40594,0.50042,0.28231,0.32198
17,0.019918,0.031975,0.042211,0.072148,0.061365,0.052975,0.052267,0.042069,0.059354,0.075932,0.025271,0.029277
18,0.052846,0.085366,0.038372,0.020897,0.066182,0.1356,0.087864,0.1241,0.155,0.23477,0.073958,0.02535
19,0.004522,0.071278,0.049953,0.095825,0.043601,0.026377,0.016244,-0.00071944,0.021811,0.069106,0.029461,0.059605
20,0.24598,0.42774,0.32242,0.33206,0.30138,0.43914,0.23207,0.377,0.26395,0.39261,0.29917,0.34992
21,0.023473,0.084235,0.072342,0.015911,0.17223,0.21179,0.058291,0.069045,0.084824,0.081149,0.087377,0.10534
22,0.13532,0.19498,0.13611,0.15297,0.060724,0.12158,0.080892,0.1129,0.10656,0.14112,0.14223,0.21148
23,0.022852,0.063916,0.058441,0.076341,0.045273,0.0689,0.064615,0.07352,0.1794,0.12271,0.11184,0.1163
24,0.15422,0.097592,0.21599,0.19362,0.19726,0.31285,0.17381,0.22275,0.28041,0.28542,0.25464,0.27659
25,0.21281,0.23017,0.20669,0.23824,0.18366,0.21296,0.22368,0.20347,0.20492,0.31029,0.22126,0.33066
26,0.12062,0.11225,0.051481,0.14849,0.081432,0.23786,0.1529,0.12172,0.14677,0.19086,0.074883,0.12147
