0.040826,0.035663,0.045085,0.086017,0.075329,0.074522,0.072538,0.11966,0.17046,0.20741,0.2172,0.22359
0.27932,0.43893,0.24849,0.36766,0.40492,0.42191,0.26389,0.34333,0.48915,0.46913,0.54341,0.51634
0.12923,0.19539,0.1633,0.17486,0.042809,0.077186,0.061564,0.099203,0.13406,0.19922,0.17378,0.16292
0.078218,0.20901,0.10788,0.21677,0.081851,0.11484,0.11655,0.23639,0.27943,0.29675,0.10521,0.22064
0.034156,0.055574,0.12625,0.085501,0.061507,0.15467,0.17118,0.11477,0.1269,0.26258,0.15079,0.36959
0.21891,0.27298,0.21389,0.1896,0.16748,0.30275,0.39931,0.42693,0.32663,0.39222,0.35858,0.41183
0.09274,0.31013,0.085238,0.1132,0.14044,0.15574,0.12616,0.10558,0.10355,0.15728,0.15682,0.31785
0.019703,0.027807,0.030044,0.035252,0.12236,0.31968,0.14036,0.39352,0.28401,0.36015,0.15236,0.33849
0.043012,0.086344,0.053168,0.072982,0.21392,0.35004,0.20172,0.37337,0.25938,0.1841,0.2846,0.33993
0.021036,0.068603,0.039746,0.012105,0.1089,0.28645,0.061553,0.054371,0.37996,0.38008,0.26415,0.47914
0.093498,0.09533,0.085546,0.13852,0.10773,0.13993,0.14085,0.19293,0.17784,0.37452,0.40854,0.35932
0.22119,0.34155,0.29159,0.26251,0.28345,0.2381,0.32606,0.26142,0.33095,0.30922,0.26777,0.26211
0.11077,0.2967,0.12569,0.40185,0.058364,0.088631,0.04171,0.057919,0.085134,0.043162,0.06329,0.097857
0.099004,0.1326,0.12334,0.14678,0.11555,0.18152,0.089088,0.1119,0.090754,0.12416,0.11486,0.1091
0.18152,0.40013,0.18911,0.34895,0.135,0.12706,0.11995,0.13781,0.092296,0.10641,0.096186,0.11459
0.10348,0.14079,0.08426,0.17534,0.19567,0.19669,0.16528,0.23006,0.67067,0.48104,0.30735,0.34898
0.028827,0.057452,0.03702,0.070989,0.062005,0.055446,0.079413,0.065097,0.048651,0.090093,0.043794,0.040233
0.084322,0.10297,0.030003,0.063776,0.081424,0.11252,0.083872,0.2146,0.14907,0.29011,0.054379,0.035656
0.044334,0.067599,0.066023,0.091168,0.081522,0.064451,0.030849,0.029167,0.026144,0.070273,0.015468,0.072656
0.40773,0.52889,0.38574,0.46726,0.4296,0.58502,0.45313,0.47419,0.38968,0.53732,0.4842,0.49592
0.076187,0.19061,0.090202,0.081665,0.22544,0.26845,0.088736,0.11504,0.13975,0.15779,0.14874,0.15971
0.1252,0.2012,0.12549,0.16302,0.08779,0.14608,0.091737,0.11796,0.12315,0.13357,0.15357,0.1909
0.027636,0.058667,0.11107,0.078415,0.080826,0.088486,0.070476,0.090086,0.21097,0.12065,0.10776,0.11512
0.16226,0.097313,0.21442,0.21561,0.22114,0.22536,0.20272,0.27784,0.31832,0.32823,0.23767,0.43874
0.3225,0.29937,0.27873,0.30268,0.25412,0.29949,0.29379,0.26984,0.28446,0.29885,0.27869,0.3005
0.11116,0.15493,0.069609,0.1339,0.12784,0.31388,0.095926,0.13395,0.17177,0.22509,0.096746,0.17898
